Country,1,2,3,4,5,6,       Total Responses
Burkina_Faso,289,538,367,56,10,0,1260
Cameroon,481,531,241,150,90,2,1495
Costa Rica,283,339,161,149,36,13,981
Cote_dIIvorie,478,268,157,197,68,2,1170
Ecuador,277,309,154,195,37,13,985
Honduras,277,303,152,204,35,9,980
Liberia,148,221,216,326,47,1,959
Madagascar,396,359,225,100,113,0,1193
Mozambique,511,187,187,454,90,7,1436
Peru,235,577,342,260,49,17,1480
Rwanda,375,318,117,156,2,0,968
Thailand,1054,203,233,359,86,13,1948
Zambia,415,293,145,134,24,0,1011
