question,response,country
45,3,Burkina_Faso
45,3,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,4,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,3,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,3,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,3,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,4,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,3,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,3,Burkina_Faso
45,4,Burkina_Faso
45,3,Burkina_Faso
45,1,Burkina_Faso
45,4,Burkina_Faso
45,4,Burkina_Faso
45,3,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,3,Burkina_Faso
45,2,Burkina_Faso
45,3,Burkina_Faso
45,3,Burkina_Faso
45,4,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,3,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,4,Burkina_Faso
45,1,Burkina_Faso
45,3,Burkina_Faso
45,1,Burkina_Faso
45,4,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,3,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,3,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,4,Burkina_Faso
45,3,Burkina_Faso
45,3,Burkina_Faso
45,3,Burkina_Faso
45,3,Burkina_Faso
45,4,Burkina_Faso
45,3,Burkina_Faso
45,3,Burkina_Faso
45,3,Burkina_Faso
45,3,Burkina_Faso
45,2,Burkina_Faso
45,3,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
45,3,Burkina_Faso
45,2,Burkina_Faso
45,2,Burkina_Faso
45,4,Burkina_Faso
45,1,Burkina_Faso
45,2,Burkina_Faso
45,1,Burkina_Faso
45,1,Burkina_Faso
