Country,q1,q2,q3,q4,q5,q6,TotalResponses
Burkina_Faso,289,538,367,56,10,0,1260
Cameroon,481,531,241,150,90,2,1495
Cote_dIIvorie,478,268,157,197,68,2,1170
Liberia,148,221,216,326,47,1,959
Madagascar,396,359,225,100,113,0,1193
Mozambique,511,187,187,454,90,7,1436
Rwanda,375,318,117,156,2,0,968
Zambia,415,293,145,134,24,0,1011
